issue_area,issue_subtopic,pattern,exclusionary_term,anchor_phrases,,,,
Climate Change & Sustainability,Climate Change,climate change;#climatechange;sustainability;#sustainability;carbon offsets;#carbon offsets;ESG;#ESG;anti-ESG;#anti-ESG;anti ESG;#antiESG;fudiciary duty;#fudiciaryduty;divestment;#divestment;net zero;#netzero;carbon neutral;#carbon neutral;carbon emissions;#carbonemissions;CSDDD;CSD3;EUDR;EU climate reporting;nuclear energy;offshore drilling,surgery;#surgery,,,,,
Climate Change & Sustainability,Energy Sources,clean energy;#cleanenergy;fossil fuels;fossil fuel;#fossilfuel;big oil;#big oil,,,,,,
Climate Change & Sustainability,ESG,ESG;#ESG;esg;#esg;anti-ESG;#anti-ESG;climate AND woke;antiESG;#antiESG;CSDDD;#CSDDD;SEC Climate;#SECClimate;sustainability disclosure;#sustainabilitydisclosure,,,,,,
Climate Change & Sustainability,Natural Disasters,natural disaster;#naturaldisaster;natural disasters;#naturaldisasters;home insurance AND climate change;home insurance AND hurricane;flood insurance AND climate change;flood insurance;insurance coverage;insurance AND climate;flood insurance AND hurricane,,,,,,
Climate Change & Sustainability,Net Zero,net zero;#netzero;emissions reduction;#emissionsreduction;SBTi;#SBTi;emissions AND verification,,,,,,
Climate Change & Sustainability,Plastic,plastic;#plastic;plastic waste;#plasticwaste;recycle;#recycle;recycling;recycling infrastructure;sustainable packaging;#sustainablepackaging;#PFAS;PFAS;#foreverchemicals;forever chemicals;#foreverchemical;forever chemical;reusable packaging;recycled packaging;plastic pollution crisis;circular economy;compostable packaging;plastic treaty;global plastic treaty;#plasticpollutioncrisis;#recycledpackaging;#reusablepackaging;plastic reduction;plastic crisis;#plasticrisis;recyclable packaging;#recyclablepackaging;ethylene oxide;PFOA;#PFOA,,,,,,
Climate Change & Sustainability,Sustainability,sustainable agriculture;#sustainableagriculture;#sustainableag;sustainable farming;#sustainablefarming;water stewardship;#waterstewardship;water conservation;#water conservation;water waste;#waterconsumption;water consumption;water scarcity;corporate water stewardship;water risk;water stress;deforestation;#deforestation;cocoa and forests initiative;cocoa-related deforestation;cocoa & forests initiative;#cocoa-relateddeforestation;#cocoaandforests;corporate responsibility,,,,,,
AI,AI Equity,hatespeech;#hatespeech;online harassment;#onlineharassment;racist slurs;#racistslurs;AI bias;#AIbias;biased alogrithms;#biasedalgorithms;facial recognition;#facialrecognition;predictive policing;#predictivepolicing;biometric data;#biometricdata,,,,,,
AI,AI Liability,Section 230;#section230;cybercrimes;#cybercrimes;algorithmic decisions;#algorithmicdecisions;notice-and-choice;#noticeandchoice;opt-out;#opt-out;GDPR;#GDPR;Liability;#liability,,,,,,
AI,AI Misinformation,misinformation;#misinformation;disinformation;#disinformation;hallucinations;#hallucinations;deepfakes;#deepfakes;political censorship;#politicalcensorship;REAL Political Ads Act;#REALPoliticalAdsAct,,,,,,
AI,AI Privacy,tracking;#tracking;geolocation;#geolocation;data collection;#datacollection;adtech;#adtech;kids online;#kidsonline;mass surveillance;#masssurveillance,,,,,,climate change;#climatechange;sustainability;#sustainability;carbon offsets;#carbon offsets;ESG;#ESG;anti-ESG;#anti-ESG;anti ESG;#antiESG;fudiciary duty;#fudiciaryduty;divestment;#divestment;net zero;#netzero;carbon neutral;#carbon neutral;carbon emissions;#carbonemissions;CSDDD;CSD3;EUDR;EU climate reporting;nuclear energy;offshore drilling
AI,AI Workforce,tech layoffs;#techlayoffs;automate;#automate;workforce;#workforce;upskilling;#upskilling,,,,,,
